time,temperature_2m_max,temperature_2m_min,precipitation_sum,lokasi,Tahun
2018-01-31,30.1,24.6,1.5,Makassar,2018
2018-02-01,27.2,24.2,31.8,Makassar,2018
2018-02-02,28.0,24.1,24.1,Makassar,2018
2018-02-03,27.4,24.2,13.3,Makassar,2018
2018-02-04,27.9,24.0,8.0,Makassar,2018
2018-02-05,28.6,24.2,15.7,Makassar,2018
2018-02-06,28.4,24.3,18.9,Makassar,2018
2018-02-07,27.8,23.9,24.4,Makassar,2018
2018-02-08,27.3,23.8,37.2,Makassar,2018
2018-02-09,28.7,23.8,12.2,Makassar,2018
2018-02-10,27.0,24.5,12.5,Makassar,2018
2018-02-11,26.5,24.1,23.0,Makassar,2018
2018-02-12,28.3,24.0,25.6,Makassar,2018
2018-02-13,26.6,23.9,27.2,Makassar,2018
2018-02-14,28.0,24.3,38.0,Makassar,2018
2018-02-15,25.6,24.4,33.4,Makassar,2018
2018-02-16,27.2,24.4,44.2,Makassar,2018
2018-02-17,29.4,23.8,1.4,Makassar,2018
2018-02-18,29.2,23.6,3.3,Makassar,2018
2018-02-19,27.8,24.8,6.9,Makassar,2018
2018-02-20,29.5,23.3,0.8,Makassar,2018
2018-02-21,29.5,24.6,0.3,Makassar,2018
2018-02-22,29.2,23.9,9.5,Makassar,2018
2018-02-23,28.5,24.0,9.0,Makassar,2018
2018-02-24,28.0,24.4,8.3,Makassar,2018
2018-02-25,28.3,24.2,5.1,Makassar,2018
2018-02-26,28.4,24.2,7.0,Makassar,2018
2018-02-27,28.4,24.5,3.0,Makassar,2018
2018-02-28,29.1,24.2,3.7,Makassar,2018
2018-03-01,27.0,24.6,16.1,Makassar,2018
2018-03-02,29.4,24.5,5.8,Makassar,2018
2018-03-03,29.6,23.5,3.1,Makassar,2018
2018-03-04,29.0,24.4,5.3,Makassar,2018
2018-03-05,29.4,24.8,0.7,Makassar,2018
2018-03-06,29.1,24.4,4.7,Makassar,2018
2018-03-07,28.2,24.4,18.9,Makassar,2018
2018-03-08,27.0,23.6,31.6,Makassar,2018
2018-03-09,27.0,24.4,22.9,Makassar,2018
2018-03-10,29.4,23.8,2.4,Makassar,2018
2018-03-11,28.4,24.0,13.9,Makassar,2018
2018-03-12,28.5,24.5,2.1,Makassar,2018
2018-03-13,29.1,24.5,21.0,Makassar,2018
2018-03-14,28.1,23.8,19.5,Makassar,2018
2018-03-15,29.2,24.2,7.8,Makassar,2018
2018-03-16,26.9,24.4,13.9,Makassar,2018
2018-03-17,27.8,24.5,16.1,Makassar,2018
2018-03-18,27.2,23.9,17.5,Makassar,2018
2018-03-19,29.6,23.0,0.2,Makassar,2018
2018-03-20,29.5,24.4,3.2,Makassar,2018
2018-03-21,29.2,24.4,27.7,Makassar,2018
2018-03-22,25.9,23.5,44.0,Makassar,2018
2018-03-23,29.7,23.8,6.7,Makassar,2018
2018-03-24,29.4,24.0,1.3,Makassar,2018
2018-03-25,28.5,24.5,10.7,Makassar,2018
2018-03-26,27.6,24.6,12.5,Makassar,2018
2018-03-27,29.6,24.6,7.5,Makassar,2018
2018-03-28,28.2,24.7,12.3,Makassar,2018
2018-03-29,27.5,24.6,11.1,Makassar,2018
2018-03-30,27.9,24.6,6.0,Makassar,2018
2018-03-31,27.2,24.2,12.4,Makassar,2018
2018-04-01,29.5,24.0,4.0,Makassar,2018
2018-04-02,28.5,24.0,4.7,Makassar,2018
2018-04-03,28.6,23.6,2.2,Makassar,2018
2018-04-04,28.9,23.7,7.3,Makassar,2018
2018-04-05,29.2,24.2,3.1,Makassar,2018
2018-04-06,29.9,24.5,2.2,Makassar,2018
2018-04-07,28.2,24.1,22.2,Makassar,2018
2018-04-08,30.0,24.6,0.0,Makassar,2018
2018-04-09,29.9,23.9,4.4,Makassar,2018
2018-04-10,30.2,24.0,0.7,Makassar,2018
2018-04-11,29.1,24.5,14.5,Makassar,2018
2018-04-12,29.9,24.5,0.4,Makassar,2018
2018-04-13,29.9,24.5,1.4,Makassar,2018
2018-04-14,30.0,24.8,1.3,Makassar,2018
2018-04-15,29.1,25.0,9.1,Makassar,2018
2018-04-16,29.4,24.8,26.2,Makassar,2018
2018-04-17,29.0,24.4,5.8,Makassar,2018
2018-04-18,29.5,25.1,2.6,Makassar,2018
2018-04-19,29.0,24.6,11.2,Makassar,2018
2018-04-20,29.8,24.9,7.1,Makassar,2018
2018-04-21,29.5,24.6,12.3,Makassar,2018
2018-04-22,29.3,24.8,3.0,Makassar,2018
2018-04-23,30.1,24.3,9.5,Makassar,2018
2018-04-24,30.4,25.6,16.4,Makassar,2018
2018-04-25,29.9,24.5,1.5,Makassar,2018
2018-04-26,29.7,24.6,0.6,Makassar,2018
2018-04-27,30.7,24.4,2.9,Makassar,2018
2018-04-28,30.0,24.8,0.5,Makassar,2018
2018-04-29,31.6,23.5,0.0,Makassar,2018
2018-04-30,29.9,22.5,0.1,Makassar,2018
2018-05-01,29.7,25.0,0.2,Makassar,2018
2018-05-02,30.2,24.4,0.3,Makassar,2018
2018-05-03,30.7,23.2,0.0,Makassar,2018
2018-05-04,30.5,23.4,0.3,Makassar,2018
2018-05-05,30.7,23.2,0.3,Makassar,2018
2018-05-06,30.5,24.4,1.2,Makassar,2018
2018-05-07,29.8,25.0,5.6,Makassar,2018
2018-05-08,29.9,25.1,1.1,Makassar,2018
2018-05-09,30.1,24.6,1.4,Makassar,2018
2018-05-10,29.9,24.8,15.9,Makassar,2018
2018-05-11,29.6,25.2,16.2,Makassar,2018
2018-05-12,28.6,25.0,12.9,Makassar,2018
2018-05-13,29.4,25.0,4.8,Makassar,2018
2018-05-14,28.0,25.2,9.5,Makassar,2018
